Tahun,Provinsi,Kelompok Ikan,Hasil Tangkapan / Catch (Ton),Nilai (Rp. Juta),Effort (kapal),CPUE (Ton/Trip),C_MSY,E_MSY,TP_C,TP_E,Status
2021,ACEH,TONGKOL,42835.16,846662,54047,0.7925538882824209,140680.4809856748,369573.9649557874,30.44854531337707,14.62413620138683,Underfishing
2021,ACEH,TUNA,13197.39,498725,54047,0.2441835809573149,103635.2116050751,292761.4244455092,12.73446524168984,18.46110706093371,Underfishing
2021,ACEH,CAKALANG,23398.27,649648,54047,0.4329244916461598,119279.7606260097,287853.9638280055,19.61629523500055,18.77584011047123,Underfishing
2021,ACEH,MARLIN,1309.91,44998,54047,0.02423649786297112,5145.194892289755,308283.3112478088,25.45889956399793,17.53160097484328,Underfishing
2021,ACEH,TENGGIRI,5477.11,261660,54047,0.1013397598386589,45836.05364986922,323124.1115375772,11.9493489597476,16.72639028477907,Underfishing
2021,BALI,TONGKOL,25999.63,565003,39685,0.6551500566964849,140680.4809856748,369573.9649557874,18.48133431008634,10.73803994952609,Underfishing
2021,BALI,TUNA,18803.05,593047,39685,0.473807483935996,103635.2116050751,292761.4244455092,18.14349554440356,13.55540610418995,Underfishing
2021,BALI,CAKALANG,7981.73,177761,39685,0.2011271261181806,119279.7606260097,287853.9638280055,6.691604642824486,13.78650461235685,Underfishing
2021,BALI,MARLIN,1173.01,29032,39685,0.02955801940279703,5145.194892289755,308283.3112478088,22.79816458960174,12.87289923005265,Underfishing
2021,BALI,TENGGIRI,1429.46,41602,39685,0.03602015875015749,45836.05364986922,323124.1115375772,3.118636719730078,12.28165852778984,Underfishing
2021,BANTEN,TONGKOL,5743.05,131374,12993,0.4420110828907874,140680.4809856748,369573.9649557874,4.082336056687781,3.515669725694658,Underfishing
2021,BANTEN,TUNA,1383.04,48406,12993,0.1064450088509197,103635.2116050751,292761.4244455092,1.33452711542712,4.438084704844147,Underfishing
2021,BANTEN,CAKALANG,1228.69,22116,12993,0.09456553528823212,119279.7606260097,287853.9638280055,1.03009093374394,4.51374711927309,Underfishing
2021,BANTEN,MARLIN,155.24,4514,12993,0.01194797198491496,5145.194892289755,308283.3112478088,3.017184057160445,4.214629701299587,Underfishing
2021,BANTEN,TENGGIRI,2015.4,131985,12993,0.1551142923112445,45836.05364986922,323124.1115375772,4.396975392766499,4.021055543695939,Underfishing
2021,BENGKULU,TONGKOL,5075.13,100037,8979,0.5652221850985634,140680.4809856748,369573.9649557874,3.607558038216254,2.429554257447266,Underfishing
2021,BENGKULU,TUNA,1608.92,40059,8979,0.1791869918699187,103635.2116050751,292761.4244455092,1.552483924219836,3.067002429369322,Underfishing
2021,BENGKULU,CAKALANG,1774.7,42956,8979,0.1976500723911349,119279.7606260097,287853.9638280055,1.487846714887702,3.119290031859699,Underfishing
2021,BENGKULU,MARLIN,945.89,33106,8979,0.1053446931729591,5145.194892289755,308283.3112478088,18.38394890381019,2.912580627104517,Underfishing
2021,BENGKULU,TENGGIRI,3179.48,106695,8979,0.3541017930727253,45836.05364986922,323124.1115375772,6.936635567030478,2.778808414288143,Underfishing
2021,DAERAH ISTIMEWA YOGYAKARTA,TONGKOL,190.4,3192,1254,0.1518341307814992,140680.4809856748,369573.9649557874,0.1353421588168923,0.3393096156408143,Underfishing
2021,DAERAH ISTIMEWA YOGYAKARTA,TUNA,427.36,10409,1254,0.3407974481658692,103635.2116050751,292761.4244455092,0.4123694962177044,0.4283351204398185,Underfishing
2021,DAERAH ISTIMEWA YOGYAKARTA,CAKALANG,876.38,14188,1254,0.6988676236044657,119279.7606260097,287853.9638280055,0.7347264912341716,0.43563756542511,Underfishing
